item_id,image_id,title
127438500049,2535652754,Скакалка с электронным счетчиком и световыми эффек
567880250129,4385231975,Силовой тренажер weider 8525
679026001225,5272204420,Ammity Aero AE 402
179000000292,1798807272,Oxygen peak U
870962750246,9093451589,Гиперэкстензия DFC dbch19G
691598500842,7179179106,"Штанга 1,5 метра15 кг + блины парами 60 кг"
822369500028,8499239706,Гиря СССР 16 кг
1106835750398,11656754723,Штанга гриф блины бу
37203000046,945777936,Беговая дорожка AMF AC0-L
1126923000058,11881546691,Беговая дорожка svensson body labs physioline TBX
51142250001,1052369613,Vision U40 classic Велоэргометр
1039813500739,11062477458,Беговая дорожка бу
72686000040,1231234572,Велоэргометр Matrix U5X (v.05)
1026585000973,11572317237,Гантеля 13 кг
898936500579,10015182310,Гантели по 6 кг 2 шт
1135350250191,11796396389,Разборные гири
770587750332,8287173344,Тренажеры/блины/грифы/резина -70 процентов Barbell
19611252064,795664324,Дорожка электрическая brumer TM1370D
991329500817,10522500287,Гири и гантели
834843500863,8917867865,Гири 16-32кг парные
8158251987,608465276,"Силовой центр, тренажер со свободными весами"
775634500010,7966393023,Эллиптический тренажер eridan E-1600
754743000174,6324231852,"Утяжелители длы фитнеса 1,5"
1099765250940,11587109459,Гантель в виниловой оболочке 2кг profi-FIT
1123735252107,11849356301,Тяжелоатлетический пояс
196620000541,1880587342,Эллиптический тренажёр Torneo Stella
98434000312,1366816553,Беговая дорожка DFC M550
492947001122,3859549434,Беговая дорожка Ammity Classic+ ATM 722 TFT+ AC
948367500626,10158983298,Гиря 8кг
730104500007,6123309402,Эллиптический тренажер(профессиональный)
412335500343,3400361090,Магнитная беговая дорожка HouseFit HT-9110HP
710049000438,5900524030,"Эллиптический тренажер, эллипс"
888386250680,9297311711,Новая беговая дорожка Torneo Smarta 2020
203085500213,1909950472,Велотренажер Kettler Cycle M
679193750109,9396577784,"Гири : 32 кг.,16 кг.,12 кг"
19648250651,796334249,Велотренажер Kettler polo S
775467750083,7965703425,Новый эллиптический тренажер Kettler Rivo 4
447682750221,3615815345,Продам вело-тренажер:)
860523500326,8981649695,"Гантели стальные разборные по 18,5 кг каждая"
208235500854,1938074842,Беговая дорожка Clear Fit Classic XT.20
855412000623,8916964049,Гиря 24кг
580384000059,4878736246,Набор Гантели + штанга w-образная 25кг
176137500253,1786024060,Продам эллиптический тренажер Torneo
541574500219,4229911415,Шагоход
179436750273,1800108367,Продам гантели
119785750041,1476078907,Torneo festa C-307
24553000273,838117095,Велотренажер Kettler derby
